#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
armatura-16-mm-gost_2_1.jpg,17051,{},178,0,"{""name"":""point"",""cx"":207,""cy"":154}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,1,"{""name"":""point"",""cx"":195,""cy"":150}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,2,"{""name"":""point"",""cx"":188,""cy"":142}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,3,"{""name"":""point"",""cx"":180,""cy"":136}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,4,"{""name"":""point"",""cx"":170,""cy"":144}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,5,"{""name"":""point"",""cx"":172,""cy"":160}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,6,"{""name"":""point"",""cx"":177,""cy"":154}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,7,"{""name"":""point"",""cx"":179,""cy"":172}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,8,"{""name"":""point"",""cx"":182,""cy"":176}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,9,"{""name"":""point"",""cx"":192,""cy"":185}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,10,"{""name"":""point"",""cx"":184,""cy"":183}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,11,"{""name"":""point"",""cx"":175,""cy"":183}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,12,"{""name"":""point"",""cx"":175,""cy"":200}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,13,"{""name"":""point"",""cx"":217,""cy"":186}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,14,"{""name"":""point"",""cx"":203,""cy"":174}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,15,"{""name"":""point"",""cx"":199,""cy"":169}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,16,"{""name"":""point"",""cx"":195,""cy"":158}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,17,"{""name"":""point"",""cx"":187,""cy"":156}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,18,"{""name"":""point"",""cx"":189,""cy"":166}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,19,"{""name"":""point"",""cx"":208,""cy"":180}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,20,"{""name"":""point"",""cx"":190,""cy"":176}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,21,"{""name"":""point"",""cx"":210,""cy"":200}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,22,"{""name"":""point"",""cx"":202,""cy"":205}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,23,"{""name"":""point"",""cx"":208,""cy"":210}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,24,"{""name"":""point"",""cx"":216,""cy"":215}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,25,"{""name"":""point"",""cx"":223,""cy"":216}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,26,"{""name"":""point"",""cx"":200,""cy"":217}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,27,"{""name"":""point"",""cx"":195,""cy"":212}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,28,"{""name"":""point"",""cx"":188,""cy"":204}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,29,"{""name"":""point"",""cx"":189,""cy"":218}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,30,"{""name"":""point"",""cx"":188,""cy"":213}",{}
armatura-16-mm-gost_2_1.jpg,17051,{},178,31,"{""name"":""point"",""cx"":174,""cy"":207}",{}
